"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Seattle city, WA; Seattle-Tacoma-Bellevue, WA Metro Area!!Estimate","Seattle city, WA; Seattle-Tacoma-Bellevue, WA Metro Area!!Margin of Error"
"Total:","63,553,639","±7,639","63,033","±6,508"
"    Male:","32,180,345","±17,419","33,270","±3,804"
"        Under 5 years","2,467,419","±10,128","2,499","±1,084"
"        5 to 9 years","2,561,885","±22,033","1,980","±854"
"        10 to 14 years","2,836,603","±22,697","2,055","±1,215"
"        15 to 17 years","1,695,924","±9,419","584","±390"
"        18 and 19 years","1,100,530","±8,475","1,176","±493"
"        20 to 24 years","2,722,136","±12,083","2,057","±762"
"        25 to 29 years","2,504,898","±10,496","4,950","±1,001"
"        30 to 34 years","2,518,187","±10,854","4,346","±1,392"
"        35 to 44 years","4,748,729","±12,278","5,477","±1,234"
"        45 to 54 years","3,903,448","±13,334","3,836","±993"
"        55 to 64 years","2,799,925","±8,879","2,886","±813"
"        65 to 74 years","1,523,132","±8,700","1,096","±393"
"        75 to 84 years","615,656","±8,602","219","±252"
"        85 years and over","181,873","±7,186","109","±180"
"    Female:","31,373,294","±16,800","29,763","±3,609"
"        Under 5 years","2,383,804","±9,970","1,627","±891"
"        5 to 9 years","2,467,718","±25,398","1,650","±735"
"        10 to 14 years","2,693,493","±26,080","1,963","±847"
"        15 to 17 years","1,625,167","±8,717","1,387","±645"
"        18 and 19 years","1,034,597","±9,465","741","±451"
"        20 to 24 years","2,593,074","±13,481","4,192","±1,043"
"        25 to 29 years","2,376,834","±11,574","4,183","±1,004"
"        30 to 34 years","2,315,082","±9,211","3,263","±851"
"        35 to 44 years","4,347,323","±11,851","4,635","±1,154"
"        45 to 54 years","3,745,434","±9,235","2,762","±909"
"        55 to 64 years","2,842,265","±8,281","1,409","±482"
"        65 to 74 years","1,755,301","±8,224","1,193","±511"
"        75 to 84 years","860,743","±11,427","641","±281"
"        85 years and over","332,459","±9,664","117","±138"